rising_frame
29
228
427
626
825
1024
1223
1422
1621
1819
2018
2217
2416
2615
2814
3013
3212
3411
3610
3808
4007
4206
4405
4604
4803
5002
5201
5400
5598
5797
5996
6195
6394
6593
6792
6991
7190
7388
7587
7786
7985
8184
8383
8582
8781
8980
9178
9377
9576
9775
9974
10173
10372
10571
10770
10968
11167
11366
11565
11764
11963
12162
12361
12560
12758
12957
13156
13355
13554
13753
13952
14151
14350
14548
14747
14946
15145
15344
15543
15742
15941
16140
16338
16537
16736
16935
17134
17333
17532
17731
17930
18128
18327
18526
18725
18924
19123
19322
19521
19720
19918
20117
20316
20515
20714
20913
21112
21311
21510
21708
21907
22106
22305
22504
22703
22902
23101
23300
23498
23697
23896
24095
24294
24493
24692
24891
25090
25288
25487
25686
25885
26084
26283
26482
26681
26880
27078
27277
27476
27675
27874
28073
28272
28471
28670
28868
29067
29266
29465
29664
29863
30062
30261
30460
30658
30857
31056
31255
31454
31653
31852
32051
32250
32448
32647
32846
33045
33244
33443
33642
33841
34040
34238
34437
34636
34835
35034
35233
35432
35631
