frame,x,y
0,133.0,406.0
1,133.0,406.0
2,133.0,406.0
3,133.0,406.0
4,133.0,406.0
5,133.0,406.0
6,133.0,406.0
7,133.0,406.0
8,133.0,406.0
9,133.0,406.0
10,133.0,406.0
11,133.0,406.0
12,133.0,406.0
13,133.0,406.0
14,133.0,406.0
15,133.0,406.0
16,133.0,406.0
17,133.0,406.0
18,133.0,406.0
19,133.0,406.0
20,133.0,406.0
21,133.0,406.0
22,133.0,406.0
23,133.0,406.0
24,133.0,406.0
25,133.0,406.0
26,133.0,406.0
27,133.0,406.0
28,133.0,406.0
29,133.0,406.0
30,133.0,406.0
31,133.0,406.0
32,133.0,406.0
33,133.0,406.0
34,133.0,406.0
35,133.0,406.0
36,133.0,406.0
37,133.0,406.0
38,133.0,406.0
39,133.0,406.0
40,133.0,406.0
41,133.0,406.0
42,133.0,406.0
43,133.0,406.0
44,133.0,406.0
45,133.0,406.0
46,133.0,406.0
47,133.0,406.0
48,133.0,406.0
49,133.0,406.0
50,133.0,406.0
51,133.0,406.0
52,133.0,406.0
53,133.0,406.0
54,133.0,406.0
55,133.0,406.0
56,133.0,406.0
57,133.0,406.0
58,133.0,406.0
59,133.0,406.0
60,133.0,406.0
61,133.0,406.0
62,133.0,406.0
63,133.0,406.0
64,133.0,406.0
65,133.0,406.0
66,133.0,406.0
67,133.0,406.0
68,133.0,406.0
69,133.0,406.0
70,133.0,406.0
71,133.0,406.0
72,133.0,406.0
73,133.0,406.0
74,133.0,406.0
75,133.0,406.0
76,133.0,406.0
77,133.0,406.0
78,133.0,406.0
79,133.0,406.0
80,133.0,406.0
81,133.0,406.0
82,133.0,406.0
83,133.0,406.0
84,133.0,406.0
85,133.0,406.0
86,133.0,406.0
87,133.0,406.0
88,133.0,406.0
89,133.0,406.0
90,133.0,406.0
91,133.0,406.0
92,133.0,406.0
93,133.0,406.0
94,133.0,406.0
95,133.0,406.0
96,133.0,406.0
97,133.0,406.0
98,133.0,406.0
99,133.0,406.0
100,133.0,406.0
101,133.0,406.0
102,133.0,406.0
103,133.0,406.0
104,133.0,406.0
105,133.0,406.0
106,133.0,406.0
107,133.0,406.0
108,133.0,406.0
109,133.0,406.0
110,133.0,406.0
111,133.0,406.0
112,133.0,406.0
113,133.0,406.0
114,133.0,406.0
115,133.0,406.0
116,133.0,406.0
117,133.0,406.0
118,133.0,406.0
119,133.0,406.0
120,133.0,406.0
121,133.0,406.0
122,133.0,406.0
123,133.0,406.0
124,133.0,406.0
125,133.0,406.0
126,133.0,406.0
127,133.0,406.0
128,133.0,406.0
129,133.0,406.0
130,133.0,406.0
131,133.0,406.0
132,133.0,406.0
133,133.0,406.0
134,133.0,406.0
135,133.0,406.0
136,133.0,406.0
137,133.0,406.0
138,133.0,406.0
139,133.0,406.0
140,133.0,406.0
141,133.0,406.0
142,133.0,406.0
143,133.0,406.0
144,133.0,406.0
145,133.0,406.0
146,133.0,406.0
147,133.0,406.0
148,133.0,406.0
149,133.0,406.0
150,133.0,406.0
151,133.0,406.0
152,133.0,406.0
153,133.0,406.0
