rising_frame
291
490
688
887
1086
1285
1484
1683
1882
2081
2280
2478
2677
2876
3075
3274
3473
3672
3871
4070
4268
4467
4666
4865
5064
5263
5462
5661
5860
6058
6257
6456
6655
6854
7053
7252
7451
7650
7848
8047
8246
8445
8644
8843
9042
9241
9440
9638
9837
10036
10235
10434
10633
10832
11031
11230
11428
11627
11826
12025
12224
12423
12622
12821
13020
13218
13417
13616
13815
14014
14213
14412
14611
14810
15008
15207
15406
15605
15804
16003
16202
16401
16600
16798
16997
17196
17395
17594
17793
17992
