,start_time,end_time,event_name
0,-1718.89836,-1708.239,Centroid~10mm_per_s
1,-1545.38208,-1534.32048,Centroid~10mm_per_s
2,-1523.86224,-1512.09672,Centroid~10mm_per_s
3,-1144.8516,-1129.06368,Centroid~10mm_per_s
4,-1128.86256,-1115.1361200000001,Centroid~10mm_per_s
5,-1094.42076,-1080.9457200000002,Centroid~10mm_per_s
6,-955.24572,-944.58636,Centroid~10mm_per_s
