frame,x,y
0,38.0,118.0
1,38.0,118.0
2,38.0,118.0
3,38.0,118.0
4,38.0,118.0
5,38.0,118.0
6,38.0,118.0
7,38.0,118.0
8,38.0,118.0
9,38.0,118.0
10,38.0,118.0
11,38.0,118.0
12,38.0,118.0
13,38.0,118.0
14,38.0,118.0
15,38.0,118.0
16,38.0,118.0
17,38.0,118.0
18,38.0,118.0
19,38.0,118.0
20,38.0,118.0
21,38.0,118.0
22,38.0,118.0
23,38.0,118.0
24,38.0,118.0
25,38.0,118.0
26,38.0,118.0
27,38.0,118.0
28,38.0,118.0
29,38.0,118.0
30,38.0,118.0
31,38.0,118.0
32,38.0,118.0
33,38.0,118.0
34,38.0,118.0
35,38.0,118.0
36,38.0,118.0
37,38.0,118.0
38,38.0,118.0
39,38.0,118.0
40,38.0,118.0
41,38.0,118.0
42,38.0,118.0
43,38.0,118.0
44,38.0,118.0
45,38.0,118.0
46,38.0,118.0
47,38.0,118.0
48,38.0,118.0
49,38.0,118.0
50,38.0,118.0
51,38.0,118.0
52,38.0,118.0
53,38.0,118.0
54,38.0,118.0
55,38.0,118.0
56,38.0,118.0
57,38.0,118.0
58,38.0,118.0
59,38.0,118.0
60,38.0,118.0
61,38.0,118.0
62,38.0,118.0
63,38.0,118.0
64,38.0,118.0
65,38.0,118.0
66,38.0,118.0
67,38.0,118.0
68,38.0,118.0
69,38.0,118.0
70,38.0,118.0
71,38.0,118.0
72,38.0,118.0
73,38.0,118.0
74,38.0,118.0
75,38.0,118.0
76,38.0,118.0
77,38.0,118.0
78,38.0,118.0
79,38.0,118.0
80,38.0,118.0
81,38.0,118.0
82,38.0,118.0
83,38.0,118.0
84,38.0,118.0
85,38.0,118.0
86,38.0,118.0
87,38.0,118.0
88,38.0,118.0
89,38.0,118.0
90,38.0,118.0
91,38.0,118.0
92,38.0,118.0
93,38.0,118.0
94,38.0,118.0
95,38.0,118.0
96,38.0,118.0
97,38.0,118.0
98,38.0,118.0
99,38.0,118.0
100,38.0,118.0
101,38.0,118.0
102,38.0,118.0
103,38.0,118.0
104,38.0,118.0
105,38.0,118.0
106,38.0,118.0
107,38.0,118.0
108,38.0,118.0
109,38.0,118.0
110,38.0,118.0
111,38.0,118.0
112,38.0,118.0
113,38.0,118.0
114,38.0,118.0
115,38.0,118.0
116,38.0,118.0
117,38.0,118.0
118,38.0,118.0
119,38.0,118.0
120,38.0,118.0
121,38.0,118.0
122,38.0,118.0
123,38.0,118.0
124,38.0,118.0
125,38.0,118.0
126,38.0,118.0
127,38.0,118.0
128,38.0,118.0
129,38.0,118.0
130,38.0,118.0
131,38.0,118.0
132,38.0,118.0
133,38.0,118.0
134,38.0,118.0
135,38.0,118.0
136,38.0,118.0
137,38.0,118.0
138,38.0,118.0
139,38.0,118.0
140,38.0,118.0
141,38.0,118.0
142,38.0,118.0
143,38.0,118.0
144,38.0,118.0
145,38.0,118.0
146,38.0,118.0
147,38.0,118.0
148,38.0,118.0
149,38.0,118.0
150,38.0,118.0
151,38.0,118.0
152,38.0,118.0
153,38.0,118.0
154,38.0,118.0
155,38.0,118.0
156,38.0,118.0
157,38.0,118.0
158,38.0,118.0
159,38.0,118.0
160,38.0,118.0
161,38.0,118.0
162,38.0,118.0
163,38.0,118.0
164,38.0,118.0
165,38.0,118.0
166,38.0,118.0
167,38.0,118.0
168,38.0,118.0
169,38.0,118.0
170,38.0,118.0
171,38.0,118.0
172,38.0,118.0
173,38.0,118.0
174,38.0,118.0
175,38.0,118.0
176,38.0,118.0
177,38.0,118.0
178,38.0,118.0
179,38.0,118.0
180,38.0,118.0
181,38.0,118.0
182,38.0,118.0
183,38.0,118.0
184,38.0,118.0
185,38.0,118.0
186,38.0,118.0
187,38.0,118.0
188,38.0,118.0
189,38.0,118.0
190,38.0,118.0
191,38.0,118.0
192,38.0,118.0
193,38.0,118.0
194,38.0,118.0
195,38.0,118.0
196,38.0,118.0
197,38.0,118.0
198,38.0,118.0
199,38.0,118.0
200,38.0,118.0
201,38.0,118.0
202,38.0,118.0
203,38.0,118.0
204,38.0,118.0
205,38.0,118.0
206,38.0,118.0
207,38.0,118.0
208,38.0,118.0
209,38.0,118.0
210,38.0,118.0
211,38.0,118.0
212,38.0,118.0
