,start_time,end_time,event_name
0,-101.85528,-75.9108,Centroid~10mm_per_s
1,-75.75995999999998,-61.07820000000004,Centroid~10mm_per_s
2,-36.13932,-24.474360000000047,Centroid~10mm_per_s
