rising_frame
145
344
543
742
941
1139
1338
1537
1736
1935
2134
2333
2532
2731
2929
3128
3327
3526
3725
3924
4123
4322
4521
4719
4918
5117
5316
5515
5714
5913
6112
6311
6509
6708
6907
7106
7305
7504
7703
7902
8101
8299
8498
8697
8896
9095
9294
9493
9692
9891
10089
10288
10487
10686
10885
11084
11283
11482
11681
11879
12078
12277
12476
12675
12874
13073
13272
13471
13669
13868
14067
14266
14465
14664
14863
15062
15261
15459
15658
15857
16056
16255
16454
16653
16852
17051
17249
17448
17647
17846
