frame,x,y
0,90.0,331.0
1,90.0,331.0
2,90.0,331.0
3,90.0,331.0
4,90.0,331.0
5,90.0,331.0
6,90.0,331.0
7,90.0,331.0
8,90.0,331.0
9,90.0,331.0
10,90.0,331.0
11,90.0,331.0
12,90.0,331.0
13,90.0,331.0
14,90.0,331.0
15,90.0,331.0
16,90.0,331.0
17,90.0,331.0
18,90.0,331.0
19,90.0,331.0
20,90.0,331.0
21,90.0,331.0
22,90.0,331.0
23,90.0,331.0
24,90.0,331.0
25,90.0,331.0
26,90.0,331.0
27,90.0,331.0
28,90.0,331.0
29,90.0,331.0
30,90.0,331.0
31,90.0,331.0
32,90.0,331.0
33,90.0,331.0
34,90.0,331.0
35,90.0,331.0
36,90.0,331.0
37,90.0,331.0
38,90.0,331.0
39,90.0,331.0
40,90.0,331.0
41,90.0,331.0
42,90.0,331.0
43,90.0,331.0
44,90.0,331.0
45,90.0,331.0
46,90.0,331.0
47,90.0,331.0
48,90.0,331.0
49,90.0,331.0
50,90.0,331.0
51,90.0,331.0
52,90.0,331.0
53,90.0,331.0
54,90.0,331.0
55,90.0,331.0
56,90.0,331.0
57,90.0,331.0
58,90.0,331.0
59,90.0,331.0
60,90.0,331.0
61,90.0,331.0
62,90.0,331.0
63,90.0,331.0
64,90.0,331.0
65,90.0,331.0
66,90.0,331.0
67,90.0,331.0
68,90.0,331.0
69,90.0,331.0
70,90.0,331.0
71,90.0,331.0
72,90.0,331.0
73,90.0,331.0
74,90.0,331.0
75,90.0,331.0
76,90.0,331.0
77,90.0,331.0
78,90.0,331.0
79,90.0,331.0
80,90.0,331.0
81,90.0,331.0
82,90.0,331.0
83,90.0,331.0
84,90.0,331.0
85,90.0,331.0
86,90.0,331.0
87,90.0,331.0
88,90.0,331.0
89,90.0,331.0
90,90.0,331.0
91,90.0,331.0
92,90.0,331.0
93,90.0,331.0
94,90.0,331.0
95,90.0,331.0
96,90.0,331.0
97,90.0,331.0
98,90.0,331.0
99,90.0,331.0
100,90.0,331.0
101,90.0,331.0
102,90.0,331.0
103,90.0,331.0
104,90.0,331.0
105,90.0,331.0
106,90.0,331.0
107,90.0,331.0
108,90.0,331.0
109,90.0,331.0
110,90.0,331.0
111,90.0,331.0
112,90.0,331.0
113,90.0,331.0
114,90.0,331.0
115,90.0,331.0
116,90.0,331.0
117,90.0,331.0
118,90.0,331.0
119,90.0,331.0
120,90.0,331.0
121,90.0,331.0
122,90.0,331.0
123,90.0,331.0
124,90.0,331.0
125,90.0,331.0
126,90.0,331.0
127,90.0,331.0
128,90.0,331.0
129,90.0,331.0
130,90.0,331.0
131,90.0,331.0
132,90.0,331.0
133,90.0,331.0
134,90.0,331.0
135,90.0,331.0
136,90.0,331.0
137,90.0,331.0
138,90.0,331.0
139,90.0,331.0
140,90.0,331.0
141,90.0,331.0
142,90.0,331.0
143,90.0,331.0
144,90.0,331.0
145,90.0,331.0
146,90.0,331.0
147,90.0,331.0
148,90.0,331.0
149,90.0,331.0
150,90.0,331.0
151,90.0,331.0
152,90.0,331.0
153,90.0,331.0
154,90.0,331.0
155,90.0,331.0
156,90.0,331.0
157,90.0,331.0
158,90.0,331.0
159,90.0,331.0
160,90.0,331.0
161,90.0,331.0
162,90.0,331.0
163,90.0,331.0
164,90.0,331.0
165,90.0,331.0
166,90.0,331.0
167,90.0,331.0
168,90.0,331.0
169,90.0,331.0
170,90.0,331.0
171,90.0,331.0
172,90.0,331.0
173,90.0,331.0
174,90.0,331.0
175,90.0,331.0
176,90.0,331.0
177,90.0,331.0
178,90.0,331.0
179,90.0,331.0
180,90.0,331.0
181,90.0,331.0
182,90.0,331.0
183,90.0,331.0
184,90.0,331.0
185,90.0,331.0
186,90.0,331.0
187,90.0,331.0
188,90.0,331.0
189,90.0,331.0
190,90.0,331.0
191,90.0,331.0
192,90.0,331.0
193,90.0,331.0
194,90.0,331.0
195,90.0,331.0
196,90.0,331.0
197,90.0,331.0
198,90.0,331.0
199,90.0,331.0
200,90.0,331.0
201,90.0,331.0
202,90.0,331.0
203,90.0,331.0
204,90.0,331.0
205,90.0,331.0
206,90.0,331.0
207,90.0,331.0
208,90.0,331.0
209,90.0,331.0
210,90.0,331.0
211,90.0,331.0
212,90.0,331.0
213,90.0,331.0
214,90.0,331.0
215,90.0,331.0
216,90.0,331.0
217,90.0,331.0
218,90.0,331.0
219,90.0,331.0
220,90.0,331.0
221,90.0,331.0
222,90.0,331.0
223,90.0,331.0
224,90.0,331.0
225,90.0,331.0
226,90.0,331.0
227,90.0,331.0
228,90.0,331.0
229,90.0,331.0
230,90.0,331.0
231,90.0,331.0
232,90.0,331.0
233,90.0,331.0
234,90.0,331.0
235,90.0,331.0
236,90.0,331.0
237,90.0,331.0
238,90.0,331.0
239,90.0,331.0
240,90.0,331.0
241,90.0,331.0
242,90.0,331.0
243,90.0,331.0
244,90.0,331.0
245,90.0,331.0
246,90.0,331.0
247,90.0,331.0
248,90.0,331.0
249,90.0,331.0
250,90.0,331.0
251,90.0,331.0
252,90.0,331.0
253,90.0,331.0
254,90.0,331.0
255,90.0,331.0
256,90.0,331.0
257,90.0,331.0
258,90.0,331.0
259,90.0,331.0
260,90.0,331.0
261,90.0,331.0
262,90.0,331.0
263,90.0,331.0
264,90.0,331.0
265,90.0,331.0
266,90.0,331.0
267,90.0,331.0
268,90.0,331.0
269,90.0,331.0
270,90.0,331.0
271,90.0,331.0
272,90.0,331.0
273,90.0,331.0
274,90.0,331.0
275,90.0,331.0
276,90.0,331.0
277,90.0,331.0
278,90.0,331.0
279,90.0,331.0
280,90.0,331.0
281,90.0,331.0
282,90.0,331.0
283,90.0,331.0
284,90.0,331.0
285,90.0,331.0
286,90.0,331.0
287,90.0,331.0
288,90.0,331.0
289,90.0,331.0
290,90.0,331.0
291,90.0,331.0
292,90.0,331.0
293,90.0,331.0
294,90.0,331.0
295,90.0,331.0
296,90.0,331.0
297,90.0,331.0
298,90.0,331.0
299,90.0,331.0
300,90.0,331.0
301,90.0,331.0
302,90.0,331.0
303,90.0,331.0
304,90.0,331.0
305,90.0,331.0
306,90.0,331.0
307,90.0,331.0
308,90.0,331.0
309,90.0,331.0
310,90.0,331.0
311,90.0,331.0
312,90.0,331.0
313,90.0,331.0
314,90.0,331.0
315,90.0,331.0
316,90.0,331.0
317,90.0,331.0
318,90.0,331.0
319,90.0,331.0
320,90.0,331.0
321,90.0,331.0
322,90.0,331.0
323,90.0,331.0
324,90.0,331.0
325,90.0,331.0
326,90.0,331.0
327,90.0,331.0
328,90.0,331.0
329,90.0,331.0
330,90.0,331.0
331,90.0,331.0
332,90.0,331.0
333,90.0,331.0
334,90.0,331.0
335,90.0,331.0
336,90.0,331.0
337,90.0,331.0
338,90.0,331.0
339,90.0,331.0
340,90.0,331.0
341,90.0,331.0
342,90.0,331.0
343,90.0,331.0
344,90.0,331.0
345,90.0,331.0
346,90.0,331.0
347,90.0,331.0
348,90.0,331.0
349,90.0,331.0
350,90.0,331.0
351,90.0,331.0
352,90.0,331.0
353,90.0,331.0
354,90.0,331.0
355,90.0,331.0
356,90.0,331.0
357,90.0,331.0
358,90.0,331.0
359,90.0,331.0
360,90.0,331.0
361,90.0,331.0
362,90.0,331.0
363,90.0,331.0
364,90.0,331.0
365,90.0,331.0
366,90.0,331.0
367,90.0,331.0
368,90.0,331.0
369,90.0,331.0
370,90.0,331.0
371,90.0,331.0
372,90.0,331.0
373,90.0,331.0
374,90.0,331.0
375,90.0,331.0
376,90.0,331.0
377,90.0,331.0
378,90.0,331.0
379,90.0,331.0
380,90.0,331.0
381,90.0,331.0
382,90.0,331.0
383,90.0,331.0
384,90.0,331.0
385,90.0,331.0
386,90.0,331.0
387,90.0,331.0
388,90.0,331.0
389,90.0,331.0
390,90.0,331.0
391,90.0,331.0
392,90.0,331.0
393,90.0,331.0
394,90.0,331.0
395,90.0,331.0
396,90.0,331.0
397,90.0,331.0
398,90.0,331.0
399,90.0,331.0
400,90.0,331.0
401,90.0,331.0
402,90.0,331.0
403,90.0,331.0
404,90.0,331.0
405,90.0,331.0
406,90.0,331.0
407,90.0,331.0
408,90.0,331.0
409,90.0,331.0
410,90.0,331.0
411,90.0,331.0
412,90.0,331.0
413,90.0,331.0
414,90.0,331.0
415,90.0,331.0
416,90.0,331.0
417,90.0,331.0
418,90.0,331.0
419,90.0,331.0
420,90.0,331.0
421,90.0,331.0
422,90.0,331.0
423,90.0,331.0
424,90.0,331.0
425,90.0,331.0
426,90.0,331.0
427,90.0,331.0
428,90.0,331.0
429,90.0,331.0
430,90.0,331.0
431,90.0,331.0
432,90.0,331.0
433,90.0,331.0
434,90.0,331.0
435,90.0,331.0
436,90.0,331.0
437,90.0,331.0
438,90.0,331.0
439,90.0,331.0
440,90.0,331.0
441,90.0,331.0
442,90.0,331.0
443,90.0,331.0
444,90.0,331.0
445,90.0,331.0
446,90.0,331.0
447,90.0,331.0
448,90.0,331.0
449,90.0,331.0
450,90.0,331.0
451,90.0,331.0
452,90.0,331.0
453,90.0,331.0
454,90.0,331.0
455,90.0,331.0
456,90.0,331.0
457,90.0,331.0
458,90.0,331.0
459,90.0,331.0
460,90.0,331.0
461,90.0,331.0
462,90.0,331.0
463,90.0,331.0
464,90.0,331.0
465,90.0,331.0
466,90.0,331.0
467,90.0,331.0
468,90.0,331.0
469,90.0,331.0
470,90.0,331.0
471,90.0,331.0
472,90.0,331.0
473,90.0,331.0
474,90.0,331.0
475,90.0,331.0
476,90.0,331.0
477,90.0,331.0
478,90.0,331.0
479,90.0,331.0
480,90.0,331.0
481,90.0,331.0
482,90.0,331.0
483,90.0,331.0
484,90.0,331.0
485,90.0,331.0
486,90.0,331.0
487,90.0,331.0
488,90.0,331.0
489,90.0,331.0
490,90.0,331.0
491,90.0,331.0
492,90.0,331.0
493,90.0,331.0
494,90.0,331.0
495,90.0,331.0
496,90.0,331.0
497,90.0,331.0
498,90.0,331.0
499,90.0,331.0
500,90.0,331.0
501,90.0,331.0
502,90.0,331.0
503,90.0,331.0
504,90.0,331.0
505,90.0,331.0
506,90.0,331.0
507,90.0,331.0
508,90.0,331.0
509,90.0,331.0
510,90.0,331.0
511,90.0,331.0
512,90.0,331.0
513,90.0,331.0
514,90.0,331.0
515,90.0,331.0
516,90.0,331.0
517,90.0,331.0
518,90.0,331.0
519,90.0,331.0
520,90.0,331.0
521,90.0,331.0
522,90.0,331.0
523,90.0,331.0
524,90.0,331.0
525,90.0,331.0
526,90.0,331.0
527,90.0,331.0
528,90.0,331.0
529,90.0,331.0
530,90.0,331.0
531,90.0,331.0
532,90.0,331.0
533,90.0,331.0
534,90.0,331.0
535,90.0,331.0
536,90.0,331.0
537,90.0,331.0
538,90.0,331.0
539,90.0,331.0
540,90.0,331.0
541,90.0,331.0
542,90.0,331.0
543,90.0,331.0
544,90.0,331.0
545,90.0,331.0
546,90.0,331.0
547,90.0,331.0
548,90.0,331.0
549,90.0,331.0
550,90.0,331.0
551,90.0,331.0
552,90.0,331.0
553,90.0,331.0
554,90.0,331.0
555,90.0,331.0
556,90.0,331.0
557,90.0,331.0
558,90.0,331.0
559,90.0,331.0
